CC,Vendor,PO #,Vendor Ref,Order Date,PO Line,Seq,Required Date,WH,Part Code,Part Desc,UOM,Order Qty,Accepted Qty,Outstanding Qty
1W,MV0034,254632,Adam,2025-12-04 00:00:00,1,1,2026-01-05 00:00:00,MT,GXB50121010VGOC,GX MESH - ROOF 5.0M X 1.2M GAL GLENCORE COAL MAT # 400037854 - OAKY CREEK,EA,960,0,960
1W,MV0034,254633,Terry,2025-12-04 00:00:00,1,1,2026-01-05 00:00:00,MT,CC402410105,MESH MINE 4.0MX2.4M 100X100 APT 5.0MM WIRE IMB5-44-4024,EA,700,0,700
1W,MV0034,254634,Terry,2025-12-04 00:00:00,1,1,2026-01-05 00:00:00,MT,SMF4524101005,MESH Mine 4.5M X 2.4M 100X100 APT 5.0MM WIRE  ,EA,500,0,500
1W,MV0034,254635,Adam,2025-12-04 00:00:00,1,1,2026-01-05 00:00:00,MT,CCP45241010056G,MESH MINE 4.5MX2.4M 100X100 AP IMG5H-44-4524_JEN,EA,2200,0,2200
1W,MV0034,254770,Adam,2025-12-11 00:00:00,1,1,2025-12-22 00:00:00,MT,SMB561604GCD,MESH ROOF 5.6MX1.6M 100X100 APT 4.0MM&5.0MM WIRE MM0207,EA,4000,0,4000
1W,MV0034,254773,Adam,2025-12-11 00:00:00,1,1,2026-01-12 00:00:00,MT,CW500L6,6.0mm Bright Wire in Coils R500L6.0-Coils,TONN,48,0,48
1W,MV0034,254774,Adam,2025-12-11 00:00:00,1,1,2026-01-12 00:00:00,MT,CW500L6.3,6.3mm Bright Wire In Coils R500L6.3-Coils,TONN,48,0,48
1W,MV0034,254775,Adam,2025-12-11 00:00:00,1,1,2026-01-12 00:00:00,MT,CW500L8,8.0mm Bright Wire In coils R500L8.0-Coils,TONN,24,0,24
1W,MV0034,254776,Adam,2025-12-11 00:00:00,1,1,2026-01-12 00:00:00,MT,D500L06.0SP,6.0mm Ribbed Wire in Spools D500L6.0-Spools,TONN,24,0,24
1W,MV0034,254777,Adam,2025-12-11 00:00:00,1,1,2026-01-12 00:00:00,MT,D500L07.6SP,7.60mm Ribbed Wire in Spools D500L7.6-Spools,TONN,24,0,24
1W,MV0034,254778,Adam,2025-12-11 00:00:00,1,1,2026-01-12 00:00:00,MT,D500L08.6SP,8.60mm Ribbed Wire in Spools D500L8.6-Spools,TONN,48,0,48
1W,MV0034,254779,Adam,2025-12-11 00:00:00,1,1,2026-01-12 00:00:00,MT,TIE3.15X2.3MM,Tie Wire 3.15mmx2.3m Lenght Tie-3.15mm-2.3m,TONN,10,0,10
1W,MV0034,254802,Adam,2025-12-12 00:00:00,1,1,2026-01-12 00:00:00,MT,SMF251803GCD,RIB MESH 2.5X1.8M 100X100MM APT & 3.15MM GAL WIRE  ,EA,6000,0,6000
1W,MV0034,254844,Adam,2025-12-15 00:00:00,1,1,2026-01-05 00:00:00,MT,SMB4H50241010,100x100x5000x2400x4.50 IMB4H-44-5024,EA,3600,0,3600
1W,MV0034,254845,Adam,2025-12-15 00:00:00,1,1,2026-01-26 00:00:00,MT,SMB4H50241010,100x100x5000x2400x4.50 IMB4H-44-5024,EA,1800,0,1800
1W,MV0034,254846,Adam,2025-12-15 00:00:00,1,1,2026-02-16 00:00:00,MT,SMB4H50241010,100x100x5000x2400x4.50 IMB4H-44-5024,EA,1800,0,1800
1W,MV0034,254847,Adam,2025-12-15 00:00:00,1,1,2025-12-29 00:00:00,MT,SMF2420101003,100x100x2400x2000x3.15 Ind Mes IMB3H-44-2420-DCLA,EA,3000,0,3000
1W,MV0034,254848,Adam,2025-12-15 00:00:00,1,1,2025-12-29 00:00:00,MT,SMF2516101031G,MESH RIB 2.5MX1.60M 100X100 APT 3.15MM WIRE GALV IMG3H-44-2516,EA,3000,0,3000
1W,MV0034,254849,Adam,2025-12-15 00:00:00,1,1,2026-01-12 00:00:00,MT,GXB50121010VGOC,GX MESH - ROOF 5.0M X 1.2M GAL GLENCORE COAL MAT # 400037854 - OAKY CREEK,EA,3600,0,3600
1W,MV0034,254850,Adam,2025-12-15 00:00:00,1,1,2026-01-26 00:00:00,MT,SMB5112151504,150x150x5100x1150x4x5 - DEN2 IMB45-66-5111-DEN2,EA,3240,0,3240
1W,MV0034,254851,Adam,2025-12-15 00:00:00,1,1,2026-01-26 00:00:00,MT,CC5014101005,MESH ROOF 5.00MX1.35M 100X100 APT 5.0MM WIRE IMB5-44-5014-JNA,EA,1188,0,1188
1W,MV0034,254852,Adam,2025-12-15 00:00:00,1,1,2026-01-26 00:00:00,MT,SMF4814101004,MESH 100X100X4800X1400X4MM BLACK  ,EA,1440,0,1440
1W,MV0034,254898,Adam,2025-12-17 00:00:00,1,1,2026-01-19 00:00:00,MT,SMF4524101005,MESH Mine 4.5M X 2.4M 100X100 APT 5.0MM WIRE  ,EA,1000,0,1000
1W,MV0034,254899,Adam,2025-12-17 00:00:00,1,1,2026-03-02 00:00:00,MT,SMF2218101003G,RIB MESH 2.2MX1.8M 100X100MM APT & 3.15MM GAL WIRE  ,EA,3000,0,3000
1W,MV0037,252961,B326368,2025-09-03 00:00:00,1,1,2025-09-03 00:00:00, ,7RPRMTCE,Repair & Maintenance  ,EA,1,0,1
1W,MV0037,252961,B326368,2025-09-03 00:00:00,2,1,2025-09-03 00:00:00, ,7RPRMTCE,Repair & Maintenance  ,EA,1,0,1
1W,MV0037,252961,B326368,2025-09-03 00:00:00,3,1,2025-09-03 00:00:00, ,7RPRMTCE,Repair & Maintenance  ,EA,1,0,1
1W,MV0037,252961,B326368,2025-09-03 00:00:00,4,1,2025-09-03 00:00:00, ,7RPRMTCE,Repair & Maintenance  ,EA,1,0,1
1W,MV0055,254233,Quote 23460,2025-11-12 00:00:00,1,1,2025-11-12 00:00:00, ,7RPRMTCE,Repair & Maintenance  ,EA,1,0,1
1W,MV0079,252264,Quote QU-1581,2025-07-23 00:00:00,1,1,2025-07-23 00:00:00, ,7RPRMTCECOMP,Repair & Maint Compressor  ,EA,1,0,1
1W,MV0084,253882,Quotation 424808485,2025-10-23 00:00:00,1,1,2025-10-23 00:00:00, ,7RPRMTCE,Repair & Maintenance  ,EA,1,0,1
1W,MV0096,254863,Terry,2025-12-15 00:00:00,1,1,2026-01-30 00:00:00,MT,SMF24120505004G,50x50x2400x1200x4mm Ind Mesh IMG4-22-2412,EA,2100,0,2100
1W,MV0109,251301,2025.05.28 Fadi,2025-05-28 00:00:00,1,1,2025-05-28 00:00:00, ,4FREIGHT,Freight Out Charge  ,EA,1,0,1
1W,MV0112,253481,Adam,2025-10-01 00:00:00,1,1,2025-11-01 00:00:00,MT,SROL11005C305B,"100x150mm 5mm 1100x30000mm Black mild steel, steel rolls  ",EA,60,0,60
1W,MV0112,253481,Adam,2025-10-01 00:00:00,2,1,2025-11-01 00:00:00,MT,SROL15005C305B,"100x150mm 5mm 1500x30000mm black mild steel, steel rolls  ",EA,60,0,60
1W,MV0112,253481,Adam,2025-10-01 00:00:00,3,1,2025-11-01 00:00:00,MT,SMF30240505004G,50x50x3000x2400x4mm Weld Mesh IMG4-22-3024,EA,100,0,100
1W,MV0112,254560,Adam,2025-12-02 00:00:00,1,1,2025-12-30 00:00:00,MT,SMF30240505004G,50x50x3000x2400x4mm Weld Mesh IMG4-22-3024,EA,500,0,500
1W,MV0112,254560,Adam,2025-12-02 00:00:00,2,1,2025-12-30 00:00:00,MT,SMF2H241202525G,25x25x2400x1200x2.5mm Ind Mesh IMG2H-11-2412,EA,1100,0,1100
1W,MV0114,253519,Paul,2025-10-03 00:00:00,1,1,2025-11-01 00:00:00,M1,D500N8.0COIL,N8 Dbar in Coil D500N8.0-Coils,TONN,300,0,300
1W,MV0114,254879,Adam,2025-12-16 00:00:00,2,1,2026-03-01 00:00:00,M1,D500N12XCOIL,N12 Dbar In Coils D500N12-Coils,TONN,150,0,150
1W,MV0125,251745,Adam 240625,2025-06-24 00:00:00,1,1,2025-07-13 00:00:00,MT,D500N8.0COIL,N8 Dbar in Coil D500N8.0-Coils,TONN,50,48.028,1.972
1W,MV0143,253707,Adam,2025-10-15 00:00:00,1,1,2025-11-30 00:00:00,MT,SMF24120505004G,50x50x2400x1200x4mm Ind Mesh IMG4-22-2412,EA,400,0,400
1W,MV0143,253707,Adam,2025-10-15 00:00:00,2,1,2025-11-30 00:00:00,MT,SMF24120507504G,50x75x2400x1200x4mm Ind Mesh IMG4-23-2412,EA,400,0,400
1W,MV0143,253707,Adam,2025-10-15 00:00:00,3,1,2025-11-30 00:00:00,MT,SMF2H302402525G,25x25x3000x2400x2.5mm Ind Mesh IMG2H-11-3024,EA,200,0,200
1W,MV0143,253707,Adam,2025-10-15 00:00:00,4,1,2025-11-30 00:00:00,MT,SMF30240505004G,50x50x3000x2400x4mm Weld Mesh IMG4-22-3024,EA,400,0,400
1W,MV0143,253709,Adam,2025-10-15 00:00:00,1,1,2025-11-30 00:00:00,MT,SMF24120505004G,50x50x2400x1200x4mm Ind Mesh IMG4-22-2412,EA,500,0,500
1W,MV0143,253709,Adam,2025-10-15 00:00:00,2,1,2025-11-30 00:00:00,MT,SMF2H241202525G,25x25x2400x1200x2.5mm Ind Mesh IMG2H-11-2412,EA,1500,0,1500
1W,MV0143,253709,Adam,2025-10-15 00:00:00,3,1,2025-11-30 00:00:00,MT,SMF2H302402525G,25x25x3000x2400x2.5mm Ind Mesh IMG2H-11-3024,EA,200,0,200
1W,MV0143,253710,Adam,2025-10-15 00:00:00,1,1,2025-11-30 00:00:00,MT,SMF3H30242525G,25x25x3000x2400x3.15 Ind Mesh IMG3H-11-3024,EA,500,0,500
1W,MV0143,253710,Adam,2025-10-15 00:00:00,2,1,2025-11-30 00:00:00,MT,SMF24120507504G,50x75x2400x1200x4mm Ind Mesh IMG4-23-2412,EA,300,0,300
1W,MV0143,253710,Adam,2025-10-15 00:00:00,3,1,2025-11-30 00:00:00,MT,SMF35110102005G,100x200x3.5x1.1x 5mm Weld Mesh IMG5-48-3511,EA,100,0,100
1W,MV0143,253710,Adam,2025-10-15 00:00:00,4,1,2025-11-30 00:00:00,MT,SMF2H302402525G,25x25x3000x2400x2.5mm Ind Mesh IMG2H-11-3024,EA,100,0,100
1W,MV0143,254138,Adam,2025-11-06 00:00:00,1,1,2025-12-22 00:00:00,MT,SMF3H24122525G,25x25x2400x1200x3.15mm Ind Mes IMG3H-11-2412,EA,400,0,400
1W,MV0143,254138,Adam,2025-11-06 00:00:00,2,1,2025-12-22 00:00:00,MT,SMF30240505004G,50x50x3000x2400x4mm Weld Mesh IMG4-22-3024,EA,1800,0,1800
1W,MV0143,254138,Adam,2025-11-06 00:00:00,3,1,2025-12-22 00:00:00,MT,SMF3H30242525G,25x25x3000x2400x3.15 Ind Mesh IMG3H-11-3024,EA,400,0,400
1W,MV0143,254140,Adam,2025-11-06 00:00:00,4,1,2025-12-22 00:00:00,MT,SMF24120505004G,50x50x2400x1200x4mm Ind Mesh IMG4-22-2412,EA,2000,0,2000
1W,MV0143,254140,Adam,2025-11-06 00:00:00,5,1,2025-12-22 00:00:00,MT,SMF24120507504G,50x75x2400x1200x4mm Ind Mesh IMG4-23-2412,EA,800,0,800
1W,MV0143,254140,Adam,2025-11-06 00:00:00,6,1,2025-12-22 00:00:00,MT,SMF2H241202525G,25x25x2400x1200x2.5mm Ind Mesh IMG2H-11-2412,EA,1800,0,1800
1W,MV0143,254140,Adam,2025-11-06 00:00:00,7,1,2025-12-22 00:00:00,MT,SMF30240505004G,50x50x3000x2400x4mm Weld Mesh IMG4-22-3024,EA,1400,0,1400
1W,MV0143,254140,Adam,2025-11-06 00:00:00,8,1,2025-12-22 00:00:00,MT,SMF3H30242525G,25x25x3000x2400x3.15 Ind Mesh IMG3H-11-3024,EA,800,0,800
1W,MV0143,254140,Adam,2025-11-06 00:00:00,9,1,2025-12-22 00:00:00,MT,SMF24121001004G,100x100x2400x1200x4mm Gal Mesh IMG4-44-2412,EA,500,0,500
1W,MV0143,254160,Adam,2025-11-09 00:00:00,2,1,2025-12-09 00:00:00,MT,SMF30240505004G,50x50x3000x2400x4mm Weld Mesh IMG4-22-3024,EA,600,0,600
1W,MV0143,254160,Adam,2025-11-09 00:00:00,4,1,2025-12-09 00:00:00,MT,SMF3H51245050G,50X50X5100X2400X3.15MM GAL IND MESH  ,EA,180,0,180
1W,MV0143,254795,Adam,2025-12-11 00:00:00,1,1,2026-01-30 00:00:00,MT,SMF30240505004G,50x50x3000x2400x4mm Weld Mesh IMG4-22-3024,EA,800,0,800
1W,MV0143,254796,Adam,2025-12-11 00:00:00,1,1,2026-01-30 00:00:00,MT,SMF2H302402525G,25x25x3000x2400x2.5mm Ind Mesh IMG2H-11-3024,EA,400,0,400
1W,MV0143,254796,Adam,2025-12-11 00:00:00,2,1,2026-01-30 00:00:00,MT,SMF30240505004G,50x50x3000x2400x4mm Weld Mesh IMG4-22-3024,EA,1000,0,1000
1W,MV0143,254796,Adam,2025-12-11 00:00:00,3,1,2026-01-30 00:00:00,MT,SMF35110102005G,100x200x3.5x1.1x 5mm Weld Mesh IMG5-48-3511,EA,200,0,200
1W,MV0143,254796,Adam,2025-12-11 00:00:00,4,1,2026-01-30 00:00:00,MT,SMF3H24122525G,25x25x2400x1200x3.15mm Ind Mes IMG3H-11-2412,EA,200,0,200
1W,MV0143,254796,Adam,2025-12-11 00:00:00,5,1,2026-01-30 00:00:00,MT,SMF41110102005G,100x200x4.1x1.1x5mm Weld mesh IMG5-48-4111,EA,200,0,200
1W,MV0146,252781,SQ-045025,2025-08-25 00:00:00,1,1,2025-08-25 00:00:00, ,7RPRMTCE,Repair & Maintenance  ,EA,1,0,1
1W,MV0146,253914,Quote SQ-052599,2025-10-27 00:00:00,1,1,2025-10-27 00:00:00, ,7RPRMTCE,Repair & Maintenance  ,EA,3,0,3
1W,MV0150,253119,PO for Sept - Dec,2025-09-11 00:00:00,1,1,2025-09-11 00:00:00, ,7PACKAGING,PACKAGING  ,EA,2,0,2
1W,MV0150,253119,PO for Sept - Dec,2025-09-11 00:00:00,2,1,2025-10-01 00:00:00, ,7PACKAGING,PACKAGING  ,EA,15,0,15
1W,MV0151,253276,Quote SQR2468-Q15508,2025-09-21 00:00:00,1,1,2025-09-21 00:00:00, ,7RPRMTCE,Repair & Maintenance  ,EA,1,0,1
1W,MV0151,253941,Quote SQR2568-Q15590,2025-10-28 00:00:00,1,1,2025-10-28 00:00:00, ,7RPRMTCE,Repair & Maintenance  ,EA,2,0,2
1W,MV0159,253051,Quote 5886,2025-09-08 00:00:00,1,1,2025-09-08 00:00:00, ,7OPERCOSTS,Operating Costs  ,EA,1,0,1
1W,MV0159,253052,Quote 5887,2025-09-08 00:00:00,1,1,2025-09-08 00:00:00, ,7OPERCOSTS,Operating Costs  ,EA,1,0,1
1W,MV0160,253053,Quote Client ID191876,2025-09-08 00:00:00,1,1,2025-09-08 00:00:00, ,7OPERCOSTS,Operating Costs  ,EA,1,0,1
1W,MV0167,253169,Quote 192232 14/8/2025,2025-09-15 00:00:00,1,1,2025-09-15 00:00:00, ,7OPERCOSTS,Operating Costs  ,EA,1,0,1
70,JAVN0010,252919,.,2025-09-01 00:00:00,3,1,2025-09-09 00:00:00, ,7SMALLTOOLS,Small Tools Mfg  ,EA,15,1,14
70,JAVN0010,253378,.,2025-09-25 00:00:00,1,1,2025-10-03 00:00:00, ,7PACKAGING,PACKAGING  ,EA,48,0,48
70,JAVN0010,253551,.,2025-10-07 00:00:00,4,1,2025-10-15 00:00:00, ,7CONSTOOL,Consumables - Tooling  ,EA,1,0,1
70,JAVN0010,254027,.,2025-11-02 00:00:00,1,1,2025-11-10 00:00:00, ,7SUPPPAINT,Paint Supplies  ,EA,48,0,48
70,JAVN0010,254181,.,2025-11-10 00:00:00,1,1,2025-11-18 00:00:00, ,7CONSMANUF,Consumables Manufacturing  ,EA,60,0,60
70,JAVN0010,254181,.,2025-11-10 00:00:00,2,1,2025-11-18 00:00:00, ,7CONSMANUF,Consumables Manufacturing  ,EA,36,0,36
70,JAVN0010,254292,.,2025-11-17 00:00:00,1,1,2025-11-25 00:00:00, ,7CONSMANUF,Consumables Manufacturing  ,EA,60,0,60
70,JAVN0010,254292,.,2025-11-17 00:00:00,2,1,2025-11-25 00:00:00, ,7CONSMANUF,Consumables Manufacturing  ,EA,36,0,36
70,JAVN0010,254431,.,2025-11-25 00:00:00,1,1,2025-12-02 00:00:00, ,7SUPPPAINT,Paint Supplies  ,EA,48,0,48
70,JAVN0010,254523,.,2025-12-01 00:00:00,1,1,2025-12-09 00:00:00, ,7PACKAGING,PACKAGING  ,EA,200,63,137
70,JAVN0010,254523,.,2025-12-01 00:00:00,2,1,2025-12-09 00:00:00, ,7PACKAGING,PACKAGING  ,EA,100,0,100
70,JAVN0010,254523,.,2025-12-01 00:00:00,3,1,2025-12-09 00:00:00, ,7CONSCABLECUT,Consumable Cable cutter  ,EA,6,0,6
70,JAVN0010,254523,.,2025-12-01 00:00:00,4,1,2025-12-09 00:00:00, ,7CONSCABLECUT,Consumable Cable cutter  ,EA,500,165,335
70,JAVN0010,254580,.,2025-12-03 00:00:00,1,1,2025-12-11 00:00:00, ,7SMALLTOOLS,Small Tools Mfg  ,EA,20,5,15
70,JAVN0010,254856,.,2025-12-15 00:00:00,1,1,2025-12-22 00:00:00, ,7SUPPPAINT,Paint Supplies  ,EA,48,0,48
70,JAVN0010,254887,.,2025-12-17 00:00:00,1,1,2025-12-24 00:00:00, ,7CONSMAINT,Consumables - Maint Dept  ,EA,12,0,12
70,JAVN0010,254887,.,2025-12-17 00:00:00,2,1,2025-12-24 00:00:00, ,7CONSMAINT,Consumables - Maint Dept  ,EA,12,0,12
70,JAVN0010,254887,.,2025-12-17 00:00:00,3,1,2025-12-24 00:00:00, ,7CONSMAINT,Consumables - Maint Dept  ,EA,12,0,12
70,JAVN0031,253616,.,2025-10-12 00:00:00,1,1,2025-10-15 00:00:00, ,7CONWELDCOMBIPL,CONSUMABLE WELDING COMBI PLATES  ,EA,2,0,2
70,JAVN0031,254152,.,2025-11-09 00:00:00,1,1,2025-11-17 00:00:00, ,7CONWELDFRICLOK,CONSUMABLE WELDING FRICTION LOK  ,EA,1,0,1
70,JAVN0049,253065,-,2025-09-08 00:00:00,1,1,2025-11-10 00:00:00,N0,SHEET6024AB4501,Sheet 6M X 2.4M X 12mm AB4501 Process to 2.4 M X 1.5 M  ,TONN,42,35.256,6.744
70,JAVN0049,254175,-,2025-11-10 00:00:00,1,1,2025-12-15 00:00:00,N0,SHEET6024AB4501,Sheet 6M X 2.4M X 12mm AB4501 Process to 2.4 M X 1.5 M  ,TONN,42,12.204,29.796
70,JAVN0049,254176,-,2025-11-10 00:00:00,1,1,2026-01-05 00:00:00,N0,SHEET6024AB4501,Sheet 6M X 2.4M X 12mm AB4501 Process to 2.4 M X 1.5 M  ,TONN,42,0,42
70,JAVN0049,254424,-,2025-11-24 00:00:00,1,1,2026-01-13 00:00:00,N0,SHEET6024AB4501,Sheet 6M X 2.4M X 12mm AB4501 Process to 2.4 M X 1.5 M  ,TONN,42,0,42
70,JAVN0054,252412,-,2025-08-03 00:00:00,1,1,2025-08-06 00:00:00,NW,TB32HSCC500,32MM Allthread Bar - Grade HSCC500  ,TONN,24,20.425,3.575
70,JAVN0054,252881,-,2025-08-28 00:00:00,1,1,2025-09-09 00:00:00,N5,TB25HSCC500,25MM Allthread Bar - Grade HSCC500  ,TONN,100,0,100
70,JAVN0054,252881,-,2025-08-28 00:00:00,2,1,2025-09-09 00:00:00,N5,TB28HSCC500,28MM Allthread Bar - Grade HSCC500  ,TONN,200,96.146,103.854
70,JAVN0054,252881,-,2025-08-28 00:00:00,3,1,2025-09-09 00:00:00,N5,TB32HSCC500,32MM Allthread Bar - Grade HSCC500  ,TONN,150,0,150
70,JAVN0054,252882,-,2025-08-28 00:00:00,1,1,2025-12-15 00:00:00,N5,TB28HSCC500,28MM Allthread Bar - Grade HSCC500  ,TONN,200,0,200
70,JAVN0054,252882,-,2025-08-28 00:00:00,2,1,2025-12-15 00:00:00,N5,TB32HSCC500,32MM Allthread Bar - Grade HSCC500  ,TONN,150,0,150
70,JAVN0054,253721,.,2025-10-16 00:00:00,5,1,2025-10-24 00:00:00,NF,HSAC840219DRBGL,CHARPY TESTED JBAR 21.9MM HSAC840 JXGL  ,TONN,48,24.155,23.845
70,JAVN0054,253983,.,2025-10-29 00:00:00,1,1,2025-11-05 00:00:00,N5,HSAC840219DRBR,JBar 21.9MM HSAC840 JX  ,TONN,48,24.226,23.774
70,JAVN0054,254353,.,2025-11-20 00:00:00,1,1,2025-11-24 00:00:00,N5,TB32HSCC500,32MM Allthread Bar - Grade HSCC500  ,TONN,24,20.3,3.7
70,JAVN0054,254702,.,2025-12-08 00:00:00,1,1,2025-12-12 00:00:00,NF,HSAC840219DRBGL,CHARPY TESTED JBAR 21.9MM HSAC840 JXGL  ,TONN,24,21.467,2.533
70,JAVN0054,254761,.,2025-12-10 00:00:00,5,1,2026-01-06 00:00:00,NF,300217DRBR,REBAR 21.7MM BHP300+ JBS  ,TONN,24,0,24
70,JAVN0054,254761,.,2025-12-10 00:00:00,7,1,2026-01-06 00:00:00,NF,HSAC840219DRBR,JBar 21.9MM HSAC840 JX  ,TONN,24,0,24
70,JAVN0054,254761,.,2025-12-10 00:00:00,8,1,2026-01-06 00:00:00,NF,HSAC840219DRBGL,CHARPY TESTED JBAR 21.9MM HSAC840 JXGL  ,TONN,24,0,24
70,JAVN0054,254761,.,2025-12-10 00:00:00,9,1,2026-01-06 00:00:00,NF,HSAC840219DRBR,JBar 21.9MM HSAC840 JX  ,TONN,48,0,48
70,JAVN0054,254761,.,2025-12-10 00:00:00,10,1,2026-01-06 00:00:00,NF,HSAC840219DRBGL,CHARPY TESTED JBAR 21.9MM HSAC840 JXGL  ,TONN,24,0,24
70,JAVN0054,254761,.,2025-12-10 00:00:00,11,1,2026-01-06 00:00:00,NF,HSAC840219DRBR,JBar 21.9MM HSAC840 JX  ,TONN,24,0,24
70,JAVN0054,254761,.,2025-12-10 00:00:00,12,1,2026-01-06 00:00:00,NF,HSAC840219DRBR,JBar 21.9MM HSAC840 JX  ,TONN,24,0,24
70,JAVN0054,254761,.,2025-12-10 00:00:00,13,1,2026-01-06 00:00:00,NF,300217DRBR,REBAR 21.7MM BHP300+ JBS  ,TONN,24,0,24
70,JAVN0054,254762,.,2025-12-10 00:00:00,1,1,2025-12-15 00:00:00,N5,24TBARHSCC500,6mm Pitch Thread Bar  ,TONN,24,23.82,0.18
70,JAVN0056,253314,.,2025-09-22 00:00:00,1,1,2025-09-23 00:00:00, ,7RPRMTCEPROP,Repair & Maint Property  ,EA,1,0,1
70,JAVN0076,254576,.,2025-12-03 00:00:00,1,1,2025-12-11 00:00:00, ,7STRAPMCHREPAIR,PACKAGING STRAPPER MACHINE REPAIR  ,EA,1,0,1
70,JAVN0076,254577,.,2025-12-03 00:00:00,1,1,2025-12-11 00:00:00, ,7STRAPMCHREPAIR,PACKAGING STRAPPER MACHINE REPAIR  ,EA,1,0,1
70,JAVN0080,248754,-,2024-12-17 00:00:00,1,1,2025-01-20 00:00:00,NH,SCA2103R10,SHOTCRETE WELDED CAGES SL81C 2130X300MM R10 U-BARS & STRAIGHTS,EA,300,0,300
70,JAVN0080,253540,.,2025-10-07 00:00:00,1,1,2025-10-14 00:00:00,NH,SMMB5016101004,Sentinel Mine mesh 5000 x 1610 mm 100x100 Apt 4l Wire  ,EA,450,400,50
70,JAVN0080,254542,.,2025-12-01 00:00:00,1,1,2025-12-09 00:00:00,NH,SMMB5016101004,Sentinel Mine mesh 5000 x 1610 mm 100x100 Apt 4l Wire  ,EA,870,740,130
70,JAVN0085,254611,.,2025-12-04 00:00:00,1,1,2025-12-19 00:00:00, ,SJFL4724G,Galvanise Fric Lok M47x2.4M,EA,3300,1950,1350
70,JAVN0085,254611,.,2025-12-04 00:00:00,2,1,2025-12-19 00:00:00, ,SJFL4724GRPACK,Pack consisting of 150 x JFL4724G & 5 X PULL47G  ,EA,22,13,9
70,JAVN0085,254612,.,2025-12-04 00:00:00,2,1,2025-12-19 00:00:00, ,SJFL3315G,Galvanise Fric Lok M33x1.5M,EA,1800,0,1800
70,JAVN0085,254711,.,2025-12-09 00:00:00,2,1,2025-12-18 00:00:00, ,SJFL3315G,Galvanise Fric Lok M33x1.5M,EA,6000,1800,4200
70,JAVN0085,254711,.,2025-12-09 00:00:00,3,1,2025-12-18 00:00:00, ,SJFL4721BCRG,Galvanise Fric Lok M47x2.1M Rad crimp,EA,575,450,125
70,JAVN0085,254787,.,2025-12-11 00:00:00,1,1,2025-12-22 00:00:00, ,SJFL4724GE,**EXPORT**  Galvanise Export JFL4724BL M47x2.4M,EA,3300,0,3300
70,JAVN0085,254788,.,2025-12-11 00:00:00,1,1,2025-12-23 00:00:00, ,SJFL4724GE,**EXPORT**  Galvanise Export JFL4724BL M47x2.4M,EA,3300,0,3300
70,JAVN0085,254789,.,2025-12-11 00:00:00,1,1,2025-12-23 00:00:00, ,SJK20200550H2LG,Galv Kanga 200*200*5.50 C/W Hanger 2Loop,EA,12000,0,12000
70,JAVN0085,254790,.,2025-12-11 00:00:00,1,1,2026-01-09 00:00:00, ,SJFL4724GE,**EXPORT**  Galvanise Export JFL4724BL M47x2.4M,EA,3300,0,3300
70,JAVN0085,254791,.,2025-12-11 00:00:00,1,1,2026-01-09 00:00:00, ,SJR15150450G,Galvanise Plate Roll Top,EA,14700,0,14700
70,JAVN0085,254791,.,2025-12-11 00:00:00,2,1,2026-01-09 00:00:00, ,SJFL3315G,Galvanise Fric Lok M33x1.5M,EA,1200,0,1200
70,JAVN0085,254792,.,2025-12-11 00:00:00,1,1,2026-01-09 00:00:00, ,SJFL4724GE,**EXPORT**  Galvanise Export JFL4724BL M47x2.4M,EA,3300,0,3300
70,JAVN0085,254888,.,2025-12-17 00:00:00,1,1,2026-01-09 00:00:00, ,SJTB2524SHG,Galv Bolt JTB 25x2.4M SH  ,EA,2605,0,2605
70,JAVN0087,253861,.,2025-10-23 00:00:00,2,1,2025-10-31 00:00:00, ,7FRTIN,Freight In  ,EA,3,0,3
70,JAVN0134,253235,.,2025-09-17 00:00:00,1,1,2025-09-25 00:00:00,NF,JRB25S12,12m Rod RHT 10mm Pitch M25 500 MPA,EA,200,198,2
70,JAVN0149,252296,.,2025-07-24 00:00:00,1,1,2025-08-01 00:00:00, ,7PRODTESTS,Product Testing Exp  ,EA,1,0,1
70,JAVN0149,252376,.,2025-07-30 00:00:00,1,1,2025-08-07 00:00:00, ,7PRODTESTS,Product Testing Exp  ,EA,1,0,1
70,JAVN0149,252377,.,2025-07-30 00:00:00,1,1,2025-08-07 00:00:00, ,7PRODTESTS,Product Testing Exp  ,EA,1,0,1
70,JAVN0149,253573,-,2025-10-08 00:00:00,1,1,2025-10-23 00:00:00, ,7CALIBRATION,CALIBRATION COSTS  ,EA,1,0,1
70,JAVN0149,253573,-,2025-10-08 00:00:00,2,1,2025-10-23 00:00:00, ,7FRTINCIVIL,Freight In Civil Suppliers  ,EA,1,0,1
70,JAVN0149,254536,.,2025-12-01 00:00:00,1,1,2025-12-09 00:00:00, ,7QAREPAIRS,Repairs & Calibration Quaility Assurance,EA,1,0,1
70,JAVN0149,254894,.,2025-12-17 00:00:00,1,1,2025-12-22 00:00:00, ,7CALIBRATION,CALIBRATION COSTS  ,EA,1,0,1
70,JAVN0149,254894,.,2025-12-17 00:00:00,2,1,2025-12-22 00:00:00, ,7FRTINCIVIL,Freight In Civil Suppliers  ,EA,1,0,1
70,JAVN0162,253918,-,2025-10-27 00:00:00,1,1,2025-11-25 00:00:00, ,SJV30301256GI,Vol Plate 300x300x12mm W/56mm Hole & 2X14mm Grout ind holes  ,EA,3000,2993,7
